petal length,petal width,species,weight
1.4,0.2,setosa,4
1.4,0.2,setosa,4
1.3,0.2,setosa,1
1.5,0.2,setosa,2
1.4,0.2,setosa,3
1.7,0.4,setosa,1
1.4,0.3,setosa,3
1.5,0.2,setosa,2
1.4,0.2,setosa,2
1.5,0.1,setosa,2
1.5,0.2,setosa,5
1.6,0.2,setosa,4
1.4,0.1,setosa,4
1.1,0.1,setosa,2
1.2,0.2,setosa,4
1.5,0.4,setosa,3
1.3,0.4,setosa,3
1.4,0.3,setosa,2
1.7,0.3,setosa,1
1.5,0.3,setosa,1
1.7,0.2,setosa,5
1.5,0.4,setosa,1
1,0.2,setosa,4
1.7,0.5,setosa,3
1.9,0.2,setosa,4
1.6,0.2,setosa,5
1.6,0.4,setosa,2
1.5,0.2,setosa,3
1.4,0.2,setosa,3
1.6,0.2,setosa,5
1.6,0.2,setosa,5
1.5,0.4,setosa,2
1.5,0.1,setosa,3
1.4,0.2,setosa,5
1.5,0.2,setosa,3
1.2,0.2,setosa,1
1.3,0.2,setosa,5
1.4,0.1,setosa,5
1.3,0.2,setosa,2
1.5,0.2,setosa,2
1.3,0.3,setosa,2
1.3,0.3,setosa,2
1.3,0.2,setosa,5
1.6,0.6,setosa,5
1.9,0.4,setosa,3
1.4,0.3,setosa,3
1.6,0.2,setosa,3
1.4,0.2,setosa,5
1.5,0.2,setosa,4
1.4,0.2,setosa,3
4.7,1.4,versicolor,1
4.5,1.5,versicolor,4
4.9,1.5,versicolor,4
4,1.3,versicolor,4
4.6,1.5,versicolor,1
4.5,1.3,versicolor,2
4.7,1.6,versicolor,4
3.3,1,versicolor,2
4.6,1.3,versicolor,5
3.9,1.4,versicolor,1
3.5,1,versicolor,1
4.2,1.5,versicolor,4
4,1,versicolor,3
4.7,1.4,versicolor,4
3.6,1.3,versicolor,3
4.4,1.4,versicolor,5
4.5,1.5,versicolor,4
4.1,1,versicolor,3
4.5,1.5,versicolor,5
3.9,1.1,versicolor,1
4.8,1.8,versicolor,4
4,1.3,versicolor,1
4.9,1.5,versicolor,2
4.7,1.2,versicolor,4
4.3,1.3,versicolor,1
4.4,1.4,versicolor,5
4.8,1.4,versicolor,1
5,1.7,versicolor,3
4.5,1.5,versicolor,5
3.5,1,versicolor,5
3.8,1.1,versicolor,1
3.7,1,versicolor,5
3.9,1.2,versicolor,3
5.1,1.6,versicolor,4
4.5,1.5,versicolor,4
4.5,1.6,versicolor,3
4.7,1.5,versicolor,5
4.4,1.3,versicolor,2
4.1,1.3,versicolor,5
4,1.3,versicolor,5
4.4,1.2,versicolor,3
4.6,1.4,versicolor,1
4,1.2,versicolor,3
3.3,1,versicolor,5
4.2,1.3,versicolor,4
4.2,1.2,versicolor,1
4.2,1.3,versicolor,5
4.3,1.3,versicolor,3
3,1.1,versicolor,3
4.1,1.3,versicolor,5
6,2.5,virginica,3
5.1,1.9,virginica,2
5.9,2.1,virginica,1
5.6,1.8,virginica,5
5.8,2.2,virginica,5
6.6,2.1,virginica,2
4.5,1.7,virginica,4
6.3,1.8,virginica,1
5.8,1.8,virginica,5
6.1,2.5,virginica,4
5.1,2,virginica,5
5.3,1.9,virginica,5
5.5,2.1,virginica,3
5,2,virginica,3
5.1,2.4,virginica,3
5.3,2.3,virginica,2
5.5,1.8,virginica,1
6.7,2.2,virginica,3
6.9,2.3,virginica,3
5,1.5,virginica,5
5.7,2.3,virginica,2
4.9,2,virginica,1
6.7,2,virginica,1
4.9,1.8,virginica,5
5.7,2.1,virginica,5
6,1.8,virginica,5
4.8,1.8,virginica,5
4.9,1.8,virginica,5
5.6,2.1,virginica,2
5.8,1.6,virginica,3
6.1,1.9,virginica,4
6.4,2,virginica,5
5.6,2.2,virginica,4
5.1,1.5,virginica,4
5.6,1.4,virginica,4
6.1,2.3,virginica,4
5.6,2.4,virginica,5
5.5,1.8,virginica,3
4.8,1.8,virginica,4
5.4,2.1,virginica,4
5.6,2.4,virginica,1
5.1,2.3,virginica,3
5.1,1.9,virginica,4
5.9,2.3,virginica,4
5.7,2.5,virginica,1
5.2,2.3,virginica,1
5,1.9,virginica,5
5.2,2,virginica,1
5.4,2.3,virginica,4
5.1,1.8,virginica,3
